 id lat lon dep mw label clon clat cdep
49 201112091942A 46.9300003052 144.600006104 390.0 5.76 20 162.23374939 68.314994812 1
50 201308041556A 46.9700012207 145.220001221 378.0 5.84 20 162.23374939 68.314994812 1
51 201309061133A 20.2399997711 122.309997559 187.699996948 5.97 21 151.057495117 55.3699951172 0
52 201104291312A 21.2399997711 121.919998169 184.699996948 5.34 21 151.057495117 55.3699951172 0
53 200511211536A 30.9699993134 130.309997559 155.0 6.15 22 155.125 60.5124931335 0
54 200909031326A 31.0799999237 130.190002441 168.399993896 6.19 22 155.125 60.5124931335 0
55 200903311529A 18.3299999237 145.970001221 173.699996948 5.48 26 162.937484741 54.2474937439 0
56 201403060542A 18.6599998474 145.779998779 183.0 5.49 26 162.937484741 54.2474937439 0
57 201207090720A 49.1199989319 147.25 556.0 5.39 28 163.692489624 69.5750045776 1
58 201105251002A 49.1800003052 147.520004272 568.700012207 5.3 28 163.692489624 69.5750045776 1
59 201401311639A 54.6300010681 160.020004272 170.699996948 5.46 30 170.237503052 72.6874923706 0
60 201206261417A 56.1199989319 160.929992676 161.600006104 5.31 30 170.237503052 72.6874923706 0
