 id lat lon dep label clon clat cdep
75 201203121232A 45.09 147.87 124.9 27 163.957489014 67.5174942017 0
76 201112091942A 46.93 144.6 390.0 28 162.454986572 68.4749908447 1
77 201308041556A 46.97 145.22 378.0 28 162.454986572 68.4749908447 1
78 200602170213A 24.1 141.58 174.2 29 160.820007324 57.1174926758 0
79 201011071926A 24.37 141.7 102.7 29 160.820007324 57.1174926758 0
80 200708280116A 49.55 154.82 117.6 30 167.569992065 69.9666671753 0
81 200904210526A 50.64 155.59 151.8 30 167.569992065 69.9666671753 0
82 201007251257A 49.61 155.01 136.3 30 167.569992065 69.9666671753 0
83 200606221053A 45.37 149.52 104.8 31 164.962493896 67.7849960327 0
84 200709031614A 45.77 150.33 100.3 31 164.962493896 67.7849960327 0
85 110704A 47.93 144.52 493.0 32 162.344985962 68.8199996948 1
86 201907091133A 47.35 144.86 450.9 32 162.344985962 68.8199996948 1
